Group1,CWAP,,,,,,,
BINS,,,,,,,,
WaferType,QtyNeeded,FeasibleClasses,,,,,,
65,23536308,21,24,,,,,
65,32915976,21,,,,,,
65,1801866,20,23,,,,,
65,13081719,20,21,22,,,,
65,3858924,21,,,,,,
65,2022822,20,21,22,23,24,25,
65,2044605,20,23,,,,,
65,2044605,20,21,22,23,24,25,
WAFERS,,,,,,,,
WaferType,ID,QtyTotal,Qty20,Qty21,Qty22,Qty23,Qty24,Qty25
65,GW13W04,1035618,0,0,0,879669,155949,0
65,KX13W05,1035537,0,0,0,820710,214827,0
65,ID13W06,1035717,0,0,0,871695,164022,0
65,QK13W07,1035813,0,4698,0,440307,590808,0
65,SQ13W08,1030302,0,0,0,460551,569751,0
65,FV13W09,1034613,0,0,0,272745,761868,0
65,KD13W10,1035771,0,5355,0,170625,859791,0
65,JC13W11,1034394,0,8412,0,430929,595053,0
65,XA13W12,1034340,0,0,0,485733,548607,0
65,EX13W13,1026438,0,0,0,374826,651612,0
65,GX13W14,1035822,0,0,0,683643,352179,0
65,UC13W15,1035948,0,0,0,410502,625446,0
65,KV13W16,1035861,0,0,0,561168,474693,0
65,ME13W17,1035912,0,0,0,680259,355653,0
65,WQ13W18,1029978,0,0,0,530571,499407,0
65,HO13W19,1035831,0,4086,0,443019,588726,0
65,LK13W20,1035849,0,3126,0,603933,428790,0
65,SE13W21,1035921,0,0,0,553887,482034,0
65,XS13W22,1034529,0,5781,0,416628,612120,0
65,ZE13W23,974850,0,0,0,622611,352239,0
65,YM13W24,1035762,0,0,0,375108,660654,0
65,YV13W25,1023891,0,0,0,703698,320193,0
65,BDJRW02,1032594,0,0,0,710841,321753,0
65,XCJRW04,1033416,0,0,0,773847,259569,0
65,XWJRW05,1033506,0,0,0,754365,279141,0
65,OYJRW06,1031487,0,0,0,833304,198183,0
65,DWJRW08,1034475,0,0,0,882666,151809,0
65,WJJRW10,1035528,0,0,0,912429,123099,0
65,BIJRW12,1000482,0,0,0,787977,212505,0
65,MMJRW13,1033422,0,0,0,883719,149703,0
65,QMJRW14,1033425,0,0,0,1009143,24282,0
65,OBJRW19,1035267,0,0,0,944490,90777,0
65,JQJRW21,1032645,0,0,0,829554,203091,0
65,JAJRW22,1026147,0,0,0,849312,176835,0
65,LFJRW23,1027251,0,0,0,762942,264309,0
65,FFJRW25,1023513,0,0,0,783294,240219,0
65,AZRFW04,1035888,0,1035888,0,0,0,0
65,YUDVW11,986337,0,7578,0,910044,68715,0
65,YYDVW22,1034037,0,6723,0,808569,218745,0
65,AGRPW11,1035903,0,0,0,838194,197709,0
65,YJRRW02,1034577,0,16152,0,934944,83481,0
65,GARRW03,1033359,0,0,0,879507,153852,0
65,BIRRW04,1034598,0,26598,0,645804,362196,0
65,LORRW05,1035882,0,0,0,756039,279843,0
